"","user","month","srednio_na_miesiac"
"1","Vittore",1,17
"2","Vittore",2,53.5
"3","Vittore",3,10.5
"4","Vittore",4,96.5
"5","Vittore",5,83
"6","Vittore",6,33
"7","Vittore",7,53.5
"8","Vittore",8,8
"9","Vittore",9,75.5
"10","Vittore",10,16
"11","Vittore",11,50
"12","Vittore",12,19
"13","Filip",1,223.5
"14","Filip",2,177
"15","Filip",3,833
"16","Filip",4,757
"17","Filip",5,497
"18","Filip",6,575
"19","Filip",9,102
"20","Filip",10,400
"21","Filip",11,262
"22","Filip",12,204
"23","Kasia",1,3.875
"24","Kasia",2,15.8571428571429
"25","Kasia",3,16.8571428571429
"26","Kasia",4,20.2857142857143
"27","Kasia",5,16.8571428571429
"28","Kasia",6,12
"29","Kasia",7,51.7142857142857
"30","Kasia",8,8.57142857142857
"31","Kasia",9,22.4285714285714
"32","Kasia",10,63.8571428571429
"33","Kasia",11,17
"34","Kasia",12,36.625
"35","Oliwia",1,40.5
"36","Oliwia",2,4
"37","Oliwia",3,20.6
"38","Oliwia",4,36.6
"39","Oliwia",5,15
"40","Oliwia",6,8.5
"41","Oliwia",9,15
"42","Oliwia",10,2.16666666666667
"43","Oliwia",11,24
"44","Oliwia",12,29.3333333333333
"45","Mateusz",1,32
"46","Mateusz",2,7
"47","Mateusz",3,78
"48","Mateusz",4,380
"49","Mateusz",5,13
"50","Mateusz",6,8
"51","Mateusz",10,156
"52","Mateusz",11,163
"53","Mateusz",12,85
"54","Wojtek",3,6
"55","Wojtek",4,224
"56","Wojtek",5,159
"57","Wojtek",6,175
"58","Wojtek",9,8
"59","Wojtek",10,171
"60","Wojtek",11,334
"61","Wojtek",12,104
"62","Paweł",1,639
"63","Paweł",2,573
"64","Paweł",3,898
"65","Paweł",4,609
"66","Paweł",5,405
"67","Paweł",6,977
"68","Paweł",7,661.5
"69","Paweł",8,194.5
"70","Paweł",9,246
"71","Paweł",10,998.5
"72","Paweł",11,517
"73","Paweł",12,363.5
"74","Błażej",1,16.6
"75","Błażej",2,53.75
"76","Błażej",3,64.75
"77","Błażej",4,11.25
"78","Błażej",5,25.25
"79","Błażej",6,46.5
"80","Błażej",7,58.75
"81","Błażej",8,78.25
"82","Błażej",9,8.25
"83","Błażej",10,57
"84","Błażej",11,27.8
"85","Błażej",12,28.8
"86","Jan",1,67.5
"87","Jan",2,133
"88","Jan",3,442
"89","Jan",4,667
"90","Jan",5,1059
"91","Jan",6,723
"92","Jan",7,18
"93","Jan",9,88
"94","Jan",10,113
"95","Jan",11,92.5
"96","Jan",12,99
