"word","freq"
"xdd",70
"dobra",68
"chyba",67
"xddd",66
"masz",50
"nwm",50
"sumie",47
"imo",44
"spoko",43
"tez",36
"wiem",34
"działa",33
"sensie",33
"samo",32
"xdddd",32
"bym",31
"prostu",31
"mamy",30
"janek",29
"dziena",27
"wychodzi",26
"haha",25
"jutro",25
"chce",24
"trochę",23
"wiadomo",23
"xdddddddd",23
"jakieś",22
"kurwa",22
"pewnie",22
"potem",22
"dalej",21
"wgl",21
"dokładnie",20
"mogę",19
"pewno",19
"tą",19
"gitara",18
"ogóle",18
"okej",18
"powiem",18
"razie",18
"zaraz",18
"zrobić",18
"😂",18
"okok",17
"takiego",17
"tyle",17
"widzę",17
"yup",17
"pkt",16
"raz",16
"rozumiem",16
"akurat",15
"lepiej",15
"robi",15
"same",15
"dobry",14
"możemy",14
"myślę",14
"razu",14
"wiec",14
"zadania",14
"znaczy",14
"chodzi",13
"chuj",13
"zadanie",13
"zdecydowanie",13
"algorytm",12
"czas",12
"dawaj",12
"panie",12
"racja",12
"rzeczy",12
"troche",12
"wyszło",12
"asi",11
"hah",11
"meh",11
"mniej",11
"ofc",11
"ostatnio",11
"robisz",11
"stary",11
"wyszlo",11
"xdddddd",11
"źle",11
"cnie",10
"dokladnie",10
"idzie",10
"inaczej",10
"jebac",10
"kod",10
"miejscu",10
"niby",10
"ogarniam",10
"robiłeś",10
"sensu",10
"serio",10
"szczerze",10
"wczoraj",10
"wyniki",10
"xddddd",10
"chcesz",9
"czm",9
"dam",9
"drugie",9
"dzięki",9
"funkcji",9
"idziesz",9
"kolo",9
"miał",9
"miałem",9
"mówi",9
"nikt",9
"nom",9
"normalnie",9
"prezentacji",9
"robimy",9
"siebie",9
"tzn",9
"widziałem",9
"wyjdzie",9
"wynik",9
"zajebiscie",9
"aaa",8
"błąd",8
"czego",8
"dole",8
"elo",8
"fajnie",8
"granica",8
"isc",8
"lokalizację",8
"mateusz",8
"muszę",8
"pamiętam",8
"paweł",8
"pierwsze",8
"pisze",8
"przedmiot",8
"raczej",8
"razem",8
"razy",8
"the",8
"wiesz",8
"zasadzie",8
"znać",8
"ładnie",8
"black",7
"chuja",7
"ciekawe",7
"czasu",7
"czym",7
"cóż",7
"dziala",7
"dzieki",7
"ehhh",7
"ewentualnie",7
"git",7
"hmmm",7
"idziemy",7
"istnieje",7
"jan",7
"jankiem",7
"kartki",7
"keys",7
"koniec",7
"luz",7
"macierzy",7
"mecz",7
"meczyk",7
"min",7
"moge",7
"mógł",7
"najlepiej",7
"narazie",7
"ogarnąć",7
"podobno",7
"polecam",7
