"word","freq"
"chyba",104
"dobra",75
"nwm",68
"imo",58
"masz",57
"działa",50
"potem",45
"zaraz",44
"chuj",43
"spoko",42
"bym",41
"jutro",38
"jakieś",37
"wiem",37
"mamy",35
"jescze",33
"kurwa",33
"mogę",28
"raczej",28
"widać",26
"samo",25
"zrobić",25
"prostu",24
"idziemy",23
"pewno",23
"sensie",23
"dzięki",21
"pewnie",20
"sumie",20
"byś",19
"min",19
"dplyr",18
"lepiej",18
"chce",17
"razie",17
"robię",17
"chcesz",16
"czekaj",16
"możesz",16
"widzę",16
"wygląda",16
"chuja",15
"trochę",15
"asi",14
"chodzi",14
"dane",14
"idę",14
"jebac",14
"miał",14
"pasuje",14
"pokaż",14
"proste",14
"robić",14
"robiłem",14
"rosja",14
"dalej",13
"daty",13
"filip",13
"git",13
"idziesz",13
"jesteś",13
"koło",13
"pierwsze",13
"tyle",13
"yup",13
"cóż",12
"funkcji",12
"haha",12
"kod",12
"niby",12
"piknik",12
"travel",12
"wcześniej",12
"xddd",12
"ładnie",12
"base",11
"btw",11
"chwilę",11
"csv",11
"fakt",11
"itp",11
"mniej",11
"narazie",11
"prezentacje",11
"pytanie",11
"raport",11
"robi",11
"rzeczy",11
"shiny",11
"słów",11
"takiego",11
"wyniki",11
"zasadzie",11
"zobacz",11
"zobaczę",11
"algorytm",10
"będziesz",10
"docs",10
"idzie",10
"iść",10
"macierzy",10
"pomysł",10
"projekt",10
"raz",10
"razy",10
"rozumiem",10
"sport",10
"wogóle",10
"wykres",10
"znać",10
"akurat",9
"analiza",9
"angielski",9
"choć",9
"czekam",9
"data",9
"dokładnie",9
"drugi",9
"działało",9
"dziena",9
"funkcję",9
"hah",9
"inaczej",9
"końcu",9
"mapki",9
"miałem",9
"myślę",9
"najlepiej",9
"oczywiście",9
"ogóle",9
"ogólnie",9
"piwo",9
"podeślę",9
"politics",9
"posts",9
"prezentacji",9
"razem",9
"rosji",9
"the",9
"tymi",9
"wiadomo",9
"wychodzi",9
"wyszło",9
"własnie",9
"zobaczy",9
"źle",9
"aha",8
"chujnia",8
"czas",8
"czasu",8
"czego",8
"czym",8
"dał",8
"domu",8
"ewentualnie",8
"funkcja",8
"funkcje",8
"gówno",8
"jeść",8
"miało",8
"miejsce",8
"możemy",8
"musisz",8
"muszę",8
"necie",8
"okej",8
"paweł",8
"podeślij",8
"policzyć",8
"politic",8
"problem",8
"punkty",8
"robisz",8
"tmmapdocs",8
"weź",8
"wydział",8
"wyjść",8
"wystarczy",8
"wysłałem",8
"zbiory",8
"zgadza",8
"zrobię",8
"article",7
"benchmark",7
"datatable",7
"filipa",7
"genie",7
"graf",7
"innego",7
"jadę",7
"jan",7
"krajów",7
"liczyć",7
"macierz",7
"mapy",7
"myślałem",7
"najpierw",7
"napisać",7
"napisz",7
"ogarnąć",7
"oki",7
"pojebane",7
"proszę",7
"same",7
"sens",7
"siebie",7
"spokojnie",7
"strony",7
"super",7
"tagach",7
"tekstu",7
"tydzień",7
"usa",7
"wie",7
"zrobiłem",7
"aktualnie",6
"algorytmu",6
"całkiem",6
"chodź",6
"danych",6
"dawaj",6
"dodać",6
"dowód",6
"dwóch",6
"dyskretną",6
"euro",6
"grafy",6
"indeks",6
"indeksy",6
"jedziemy",6
"kolumny",6
"kwartału",6
"liczba",6
"licznki",6
"lol",6
"miejsca",6
"miejscu",6
"name",6
"niektóre",6
"okazji",6
"pamiętam",6
"pierwszy",6
"pik",6
"pisać",6
"pokazać",6
"poprawiłem",6
"powiem",6
"później",6
"rokiteracji",6
"sql",6
"trudno",6
"warunek",6
"widziałem",6
"wybory",6
"wydaje",6
"wykresy",6
"wzór",6
"zacząć",6
"zbiór",6
"zmienne",6
"znaczy",6
"zobaczymy",6
"zrobisz",6
"środę",6
"analizę",5
"benchmarki",5
"bierzesz",5
"biorę",5
"biznesie",5
"blisko",5
"brexit",5
"będziemy",5
"chociaż",5
"ciekawe",5
"dobry",5
"dopiero",5
"dyskretnej",5
"działają",5
"fajnie",5
"for",5
"francja",5
"grupy",5
"jakich",5
"jakies",5
"jednego",5
"jeszce",5
"juwenalia",5
"kartki",5
"kodu",5
"kurde",5
"label",5
"liczy",5
"liczysz",5
"lokalizację",5
"max",5
"merge",5
"mówi",5
"mówił",5
"napisałem",5
"napiszę",5
"narty",5
"niektórych",5
"niżej",5
"noc",5
"nom",5
"nope",5
"odcinek",5
"odwala",5
"ogarnąłem",5
"ogarnę",5
"ooo",5
"ostatnie",5
"oznacza",5
"pakietu",5
"panie",5
"pasowało",5
"pierdole",5
"podesłał",5
"podobno",5
"pokazuje",5
"pole",5
"polecam",5
"polska",5
"poniedziałek",5
"postid",5
"potrzeba",5
"prawda",5
"przeglądam",5
"punktów",5
"rano",5
"raportu",5
"read",5
"renderplot",5
"robiliśmy",5
"robiłeś",5
"równe",5
"sprawdzałem",5
"sprawdziłem",5
"stylu",5
"sumy",5
"swój",5
"szybko",5
"słowa",5
"table",5
"tagi",5
"temat",5
"tą",5
"value",5
"wczoraj",5
"wiesz",5
"wracał",5
"wszystkiego",5
"wybrać",5
"wydziale",5
"wynik",5
"wyników",5
"xdd",5
"zadanie",5
"zamiast",5
"zapraszam",5
"zastępczy",5
"zdecydowanie",5
"zobaczyć",5
"😂",5
"about",4
"aktualną",4
"analizy",4
"and",4
"anonimowych",4
"artur",4
"ascharacterdatyj",4
"bazy",4
"bin",4
"brakuje",4
"byle",4
"błędów",4
"chwile",4
"ciągów",4
"colnamesdaty",4
"czasie",4
"daj",4
