"word","freq"
"haha",71
"jutro",56
"wiem",55
"😉",50
"masz",49
"oki",47
"chyba",46
"okej",45
"spoko",45
"wgl",45
"sumie",44
"tez",43
"pewnie",41
"😊",37
"hej",36
"mamy",35
"wiec",32
"wiesz",32
"jakieś",29
"dobra",25
"xdd",24
"😂",24
"zadanie",23
"super",22
"bym",21
"raczej",21
"sgh",21
"chce",20
"dzieki",20
"dzięki",20
"hah",20
"hahaha",20
"hejka",20
"potem",20
"trochę",20
"czas",18
"dziękuję",18
"możesz",18
"musze",18
"pewno",17
"jejku",16
"matmy",16
"jakies",15
"rozumiem",15
"siebie",15
"tyle",15
"wiecej",15
"mega",14
"raz",14
"wow",14
"będziesz",13
"fajnie",13
"lepiej",13
"mogę",13
"pytanie",13
"razem",13
"bilety",12
"byłam",12
"chwilę",12
"dokładnie",12
"dzień",12
"mialam",12
"moge",12
"myślę",12
"niestety",12
"okk",12
"ostatnio",12
"przepraszam",12
"xddd",12
"zadania",12
"🙂",12
"dziekuje",11
"hahah",11
"niemieckiego",11
"ogóle",11
"rano",11
"troche",11
"wydaje",11
"dobry",10
"lekcji",10
"miałam",10
"miałem",10
"niemiecki",10
"oczywiście",10
"omg",10
"pkt",10
"razie",10
"razu",10
"tzn",10
"wawie",10
"wtorek",10
"znajomych",10
"dopiero",9
"itp",9
"miejsca",9
"myślałam",9
"myślałem",9
"ogólnie",9
"ooo",9
"pamiętam",9
"pracy",9
"wczoraj",9
"weekend",9
"widzę",9
"zobaczyć",9
"😁",9
"akurat",8
"heh",8
"hmm",8
"matury",8
"mecz",8
"miała",8
"możemy",8
"muszę",8
"nadzieje",8
"nauki",8
"poniedziałek",8
"pracuje",8
"prawda",8
"same",8
"spokojnie",8
"udało",8
"wiadomo",8
"aaa",7
"akademik",7
"angielski",7
"brat",7
"btw",7
"chociaż",7
"czwartek",7
"dalej",7
"domu",7
"drugi",7
"fizyki",7
"gratulacje",7
"idzie",7
"jakbyś",7
"jestes",7
