"word","freq"
"jutro",33
"wiem",27
"kurwa",26
"stary",25
"chyba",24
"chuj",21
"masz",14
"siema",14
"tez",14
"chce",13
"jestes",12
"haha",11
"dzieki",10
"hahaha",10
"ide",10
"sumie",9
"pewnie",8
"spoko",8
"wiec",8
"dobra",7
"okej",7
"raczej",7
"wysokosc",7
"czas",6
"elo",6
"jakies",6
"pytanie",6
"robic",6
"wgl",6
"witam",6
"wogóle",6
"zobacz",6
"aaa",5
"chodzi",5
"czekaj",5
"geo",5
"hahah",5
"mamy",5
"mial",5
"mialem",5
"możesz",5
"odpowiedzi",5
"papież",5
"pytam",5
"widac",5
"xdd",5
"zadania",5
"bedziesz",4
"bonus",4
"dawaj",4
"ficu",4
"hahahahah",4
"histy",4
"idziesz",4
"joł",4
"lece",4
"macie",4
"masce",4
"matmy",4
"moge",4
"mowil",4
"numer",4
"oboz",4
"oluju",4
"piotrek",4
"piszemy",4
"rano",4
"raz",4
"razie",4
"rok",4
"siemano",4
"srodek",4
"takiego",4
"temat",4
"temu",4
"troche",4
"wosu",4
"xddd",4
"zadanie",4
"zadanka",4
"ziom",4
"zjesc",4
"bok",3
"będziesz",3
"chcesz",3
"chujowo",3
"cwiczenia",3
"daj",3
"dali",3
"dam",3
"edb",3
"eee",3
"fizy",3
"hah",3
"hajs",3
"halo",3
"httpswwwyoutubecomwatchvueebrkqfeatureyoutube",3
"izi",3
"japierdole",3
"jasne",3
"jedziemy",3
"jeziora",3
"kartkowka",3
"kim",3
"koniec",3
"krainy",3
"kurde",3
"lecimy",3
"lekcje",3
"luju",3
"mieć",3
"mozesz",3
"musze",3
"myślałem",3
"myśle",3
"nice",3
"numeru",3
"obrażasz",3
"odpowiedz",3
"osobę",3
"papieża",3
"pisac",3
"potem",3
"powiem",3
"pozdro",3
"run",3
"samo",3
"sciany",3
"serio",3
"siemanko",3
"slyszalem",3
"sztos",3
"uczyc",3
"wez",3
"wiesz",3
"wychodzi",3
"xddddd",3
"zadzwonie",3
"zaraz",3
"zdecydowanie",3
"ziomek",3
"zrobilem",3
"aha",2
"autorytetem",2
"bal",2
"balon",2
"bocznej",2
"boi",2
"boku",2
"bonusa",2
"buki",2
"byś",2
