"word","freq"
"masz",47
"chyba",39
"wiem",36
"bym",17
"działa",17
"sumie",15
"wychodzi",15
"dobra",14
"pewnie",14
"rozumiem",14
"insertion",13
"prostu",13
"macierzy",12
"raz",12
"takiego",12
"wektory",12
"widzę",12
"chodzi",11
"jutro",11
"potem",11
"spoko",11
"tzn",11
"hej",10
"kurde",10
"lepiej",10
"robisz",10
"zadanie",10
"źle",10
"czas",9
"czekaj",9
"dzięki",9
"mamy",9
"robiłeś",9
"wiec",9
"wyniki",9
"zrobić",9
"elo",8
"issue",8
"kmeans",8
"możesz",8
"myślałem",8
"myślę",8
"samo",8
"trochę",8
"wydaje",8
"drugie",7
"itp",7
"jednym",7
"kilku",7
"kod",7
"liniowo",7
"ogóle",7
"pierwszym",7
"robiłem",7
"tez",7
"tą",7
"wiesz",7
"akurat",6
"bazy",6
"bierzesz",6
"bubble",6
"chce",6
"częściowo",6
"elitmu",6
"inaczej",6
"końca",6
"kurwa",6
"mogę",6
"napisane",6
"okej",6
"ostatnie",6
"pierwsze",6
"pierwszego",6
"razie",6
"robiles",6
"rzeczywiście",6
"schodka",6
"wartość",6
"wcześniej",6
"wzór",6
"włącznie",6
"xddd",6
"zbioru",6
"zobaczyć",6
"algorytm",5
"analizy",5
"chuj",5
"czasu",5
"dalej",5
"dokładnie",5
"drugi",5
"jesteś",5
"lepszy",5
"liczy",5
"mniej",5
"muszę",5
"mówiła",5
"napisałem",5
"nowe",5
"pewno",5
"pierwszy",5
"pisać",5
"przynajmniej",5
"razy",5
"robić",5
"rzeczy",5
"różne",5
"selection",5
"sprawdzałem",5
"wartości",5
"wczoraj",5
"widze",5
"wyszło",5
"zamiast",5
"zrobię",5
"😂",5
"baza",4
"bedziesz",4
"błąd",4
"ceny",4
"chciałem",4
"czesc",4
"dobre",4
"drugim",4
"dzieki",4
"eigen",4
"funkcji",4
"gagol",4
"gorzej",4
"haha",4
"iloczyn",4
"indeksu",4
"iteracji",4
"jakieś",4
"jasne",4
"jedną",4
"kazdego",4
"macierz",4
"możemy",4
"nom",4
"odpowiedzi",4
"odwrotnie",4
"pamiętam",4
"parametrem",4
"plus",4
"podobnie",4
"posortowane",4
"przypadku",4
"racja",4
"raczej",4
"razem",4
"robi",4
"robiliśmy",4
"siebie",4
"siema",4
"skoro",4
