"word","freq"
"jutro",60
"chyba",54
"wiem",53
"hej",39
"󾌵",33
"dzieki",30
"wiesz",27
"mamy",25
"zadanie",21
"dzięki",18
"sumie",18
"haha",17
"lekcji",17
"dobra",16
"jakies",15
"zadania",14
"masz",13
"sprawdzian",13
"aha",12
"chemii",11
"domu",10
"fajnie",10
"jakieś",10
"niemieckiego",10
"podobno",10
"poniedziałek",10
"edb",9
"matmy",9
"okej",9
"pewnie",9
"piątek",9
"zadanko",9
"angielskiego",8
"chodzi",8
"easy",8
"musisz",8
"ogóle",8
"pewno",8
"później",8
"raz",8
"sprawdzianu",8
"test",8
"dopiero",7
"dziękuję",7
"hah",7
"info",7
"matmie",7
"ogólnie",7
"ostatnio",7
"pozdro",7
"proszę",7
"strony",7
"tez",7
"trochę",7
"tyle",7
"wiec",7
"yhym",7
"󾌸",7
"będziesz",6
"czesc",6
"dalej",6
"hahah",6
"historii",6
"ide",6
"matematyki",6
"matma",6
"miał",6
"mogę",6
"napisze",6
"rano",6
"szkole",6
"weekend",6
"zle",6
"zrobić",6
"󾌴",6
"󾍇",6
"czego",5
"gotowe",5
"heh",5
"jasne",5
"jutra",5
"koło",5
"moge",5
"muszę",5
"mówiła",5
"napisac",5
"oceny",5
"oliwia",5
"pamiętam",5
"piotr",5
"polski",5
"polskiego",5
"powiem",5
"pytał",5
"razy",5
"spoko",5
"wos",5
"wynik",5
"zadanka",5
"zdjęcie",5
"źle",5
"😉",5
"😊",5
"aaa",4
"angielski",4
"chce",4
"chwile",4
"ciekawe",4
"dobry",4
"dostał",4
"egzamin",4
"grzesiu",4
"hahaha",4
"hmm",4
"hmmm",4
"inaczej",4
"izi",4
"iść",4
"jesteś",4
"kogo",4
"koniec",4
"konkurs",4
"kuli",4
"lekcje",4
"maciej",4
"matematyce",4
"miejsce",4
"mógłbyś",4
"ooo",4
"ostatnich",4
"pewna",4
"pisać",4
"pisze",4
"potem",4
"projekt",4
"robic",4
"rzeczy",4
"sanoku",4
"spać",4
"super",4
"tą",4
"wczoraj",4
"zeszytu",4
"zrobic",4
"zrobiłeś",4
"☺",4
"󾌰",4
"󾌵󾌵",4
"bedziemy",3
"biologii",3
"bym",3
"byłam",3
"bądź",3
"chwilę",3
"cześć",3
"czym",3
"dni",3
"dokładnie",3
"drugi",3
"eee",3
"egzaminu",3
"fizyka",3
"gratuluję",3
"hahha",3
"hehe",3
"idziemy",3
"idę",3
"kat",3
"klasa",3
"kompletnie",3
"lalki",3
"lece",3
"lekcjach",3
"lekcję",3
"lepiej",3
"matematyka",3
"mial",3
"miałam",3
"miałem",3
"myslalem",3
"mysle",3
"myślałam",3
"mógł",3
"mówi",3
"napisać",3
"nice",3
"niemca",3
"niestety",3
"nieźle",3
"nooo",3
"odpowiedzi",3
"pamiętać",3
"piatek",3
"pierwiastek",3
"pierwszy",3
"piotrusiu",3
"piotrze",3
"pisania",3
"piszemy",3
"podesłać",3
"podziwiam",3
"pole",3
"powiedz",3
"powiedział",3
"powiedziała",3
"powodzenia",3
"prawda",3
"przynieść",3
"pytac",3
"pytanie",3
"raczej",3
"razem",3
"razie",3
"robiliśmy",3
"robimy",3
"saska",3
"sensu",3
"serio",3
"siebie",3
"sprawdzianik",3
"stopni",3
"szczęście",3
"słyszałam",3
"tablicy",3
"trapezu",3
"troszkę",3
"tydzień",3
"umieć",3
"ważne",3
"wosu",3
"wybrać",3
"wychodzi",3
"wydaje",3
"wystarczy",3
"wyszlo",3
"wyszło",3
"yhy",3
"zadań",3
"zapisane",3
"zapytać",3
"zastepstwa",3
"zawody",3
"zdarzały",3
"znalazłam",3
"zobaczenia",3
"zrobienia",3
"zrobił",3
"zrobiłam",3
"zrozumiałam",3
"ćwiczenia",3
"śmiała",3
"😘",3
"🙂",3
"󾌧",3
"󾌬",3
"󾬖󾬖󾬖",3
"󾰕",3
"󾰧",3
"artystycznych",2
"bedziesz",2
"bgc",2
"boli",2
"bonus",2
"brak",2
"brakuje",2
"błędy",2
"całe",2
"całą",2
"chciałam",2
"chemi",2
"chociaż",2
"chory",2
"ciekawego",2
"ciekawych",2
"czasie",2
"czegos",2
"czwartek",2
"dasz",2
"dać",2
"dał",2
"domowe",2
"dostałam",2
"drugim",2
"drugą",2
"dwóch",2
"długość",2
"ekologii",2
"ekstra",2
"elo",2
"ewentualnie",2
"feriach",2
"fizyki",2
"funkcje",2
"funkcją",2
"geografia",2
"geografii",2
"głupie",2
"hahaa",2
"halo",2
"hey",2
"historia",2
"hmmmmm",2
"hokeja",2
"huberta",2
"idą",2
"impreza",2
"internecie",2
"internetu",2
"ironia",2
"ironię",2
"jakbyś",2
"jurowcach",2
"kartce",2
"kartki",2
"kartkoweczka",2
"kartkowki",2
"kartkówka",2
"kartkówki",2
"kartkę",2
"kasia",2
"kaśka",2
"każe",2
"kiedyś",2
"kity",2
"kocham",2
"konsultacjach",2
"końca",2
"końcu",2
"krzysia",2
"kserówki",2
"ksiazce",2
"ledwo",2
"lekarza",2
"lepszych",2
"liczyc",2
"lubi",2
"lubię",2
"luju",2
"maila",2
"miala",2
"mialem",2
"mielismy",2
"mieć",2
"min",2
"miły",2
"mogłabym",2
"mojej",2
"możemy",2
"możesz",2
"myśli",2
"myślę",2
"mówiąc",2
"mówił",2
"nadzieję",2
"najlepsza",2
"napisania",2
"napisałeś",2
"napisz",2
"następnej",2
"niby",2
"niezbyt",2
"niezle",2
"nikt",2
"nobo",2
"noooo",2
"nowe",2
"nowego",2
"nudno",2
"oblicz",2
"obwód",2
"ocene",2
"oczywiscie",2
"oczywiście",2
"ogarniam",2
"oks",2
"ominie",2
"opowiadanie",2
"orest",2
"ostatnim",2
"otwarte",2
"pamietam",2
"parach",2
"pare",2
"pawlecka",2
"pierwz",2
"piii",2
"pisac",2
"pisało",2
"piszę",2
"piórko",2
"podstawy",2
"pojęcia",2
"polskim",2
"poprawa",2
"poprawi",2
"poradze",2
"potrzeba",2
"powiedzieć",2
"powiesz",2
"powietrza",2
"powtórzenie",2
"problem",2
"procentów",2
"przygotuje",2
"przynajmniej",2
"przyrodnicze",2
"punktów",2
"pytania",2
"pytanko",2
"robienie",2
"robili",2
"robilismy",2
"robiliście",2
"robisz",2
"robić",2
"robię",2
"rownoboczny",2
"rozprawka",2
"sensie",2
"siedział",2
"skończyć",2
"sorka",2
"sorry",2
"sprawa",2
"sprawdzę",2
"spróbować",2
"stożka",2
"strozka",2
"swoj",2
"szanse",2
"szczerze",2
"szkoły",2
"szłyśmy",2
"słyszałem",2
"taak",2
"tekstu",2
"temat",2
"tracić",2
"treningow",2
"trojkat",2
"trudno",2
"trudny",2
"trójkątem",2
"tygodniu",2
"uczyc",2
"uczymy",2
"uczyć",2
"uda",2
"udało",2
"widzialem",2
"widzę",2
"wie",2
"wok",2
"wszystkiego",2
"wypracowanie",2
"wypracowanko",2
"wysłać",2
"wysłałam",2
"zachowania",2
"zajecia",2
"zajęcia",2
"zajęciach",2
"zajęć",2
"zamiast",2
"zapomniał",2
"zapomniałam",2
"zapraszam",2
"zapytac",2
"zaraz",2
"zartuje",2
"zdjecia",2
"zdjęcia",2
"zestawik",2
"znaczy",2
"zostawiłam",2
"zrobiliśmy",2
"zrobisz",2
"zrobiła",2
"zst",2
"zwykle",2
"ściągał",2
"światła",2
"świetnie",2
"życzę",2
"❤",2
"󾌦",2
"󾌴󾌴",2
"󾍀",2
"󾬎",2
