"word","freq"
"hej",295
"jutro",255
"tato",248
"chyba",242
"tez",204
"wiem",179
"razie",173
"masz",141
"fajnie",133
"aha",126
"trochę",118
"dalej",98
"błażej",95
"pewno",95
"pogoda",95
"czas",91
"blazej",87
"jutra",87
"paweł",85
"tyle",83
"dobra",81
"dobranoc",80
"idę",78
"cześć",76
"mecz",74
"mamy",73
"pracy",72
"idziemy",71
"zimno",71
"raczej",70
"domu",69
"pewnie",69
"siebie",69
"idzie",68
"jedziemy",68
"wczoraj",67
"hah",66
"później",66
"balu",65
"haha",65
"piotr",64
"wiadomo",64
"chce",62
"lepiej",61
"pada",60
"jedzie",57
"super",57
"dobre",56
"bym",55
"rano",54
"babcia",52
"dopiero",52
"miał",52
"wieje",51
"dobry",50
"zobaczymy",50
"chodzi",49
"potem",49
"spać",49
"będziesz",48
"tydzień",48
"napisz",47
"babci",46
"wyniki",46
"chwilę",45
"raz",44
"spoko",44
"dzień",43
"czasu",42
"mowi",42
"troche",42
"zdjęcia",42
"jadę",41
"mówi",41
"ide",40
"jakieś",40
"okej",40
"robisz",40
"chcesz",39
"kup",39
"myślę",39
"wawie",39
"kuba",38
"wieczorem",38
"deszcz",37
"itd",37
"weekend",37
"wyjazd",37
"będziemy",35
"cypek",35
"taty",35
"wawy",35
"dni",34
"itp",34
"jakies",34
"ludzi",34
"robi",34
"jesteśmy",33
"kuby",33
"ludzie",33
"mogę",33
"oczywiście",33
"podobno",33
"razem",33
"miejsce",32
"robić",32
"spokojnie",32
"bogiem",31
"miejscu",31
"pisze",31
"powodzenia",31
"chociaż",30
"możesz",30
"nauki",30
"wiesz",30
"daj",29
"ewentualnie",29
"miejsca",29
"muszę",29
"mówił",29
"piątek",29
"wcześniej",29
"widać",29
"fajne",28
"kościoła",28
"mama",28
"nowy",28
"rok",28
"zaraz",28
"błażeja",27
"koncert",27
"koniec",27
"miałem",27
"rozumiem",27
"zrob",27
"chwile",26
"narty",26
"szybko",26
"wideo",26
"bedziesz",25
"dziadzio",25
"jestes",25
"marek",25
"mial",25
"mieszkania",25
"pisałem",25
"pozniej",25
"proszę",25
"tzn",25
"wracam",25
"zdjęcie",25
"byliśmy",24
"ciepło",24
"ciężko",24
"film",24
"gra",24
"macie",24
"strony",24
"tygodniu",24
"uważaj",24
"zadowolony",24
"zajęcia",24
"akurat",23
"bedziemy",23
"dzien",23
"jechać",23
"mieszkanie",23
"mniej",23
"mocno",23
"nauka",23
"nocy",23
"rzeczy",23
"sumie",23
"uczysz",23
"uczę",23
"widziałem",23
"wróciłem",23
"wystarczy",23
"środę",23
"byłem",22
"drugie",22
"dzieci",22
"jedz",22
"jesteś",22
"krosna",22
"poniedziałek",22
"robię",22
"rzeszowa",22
"telefon",22
"😉",22
"bilety",21
"drugi",21
"działa",21
"masakra",21
"mieszkaniu",21
"normalnie",21
"okna",21
"pies",21
"proboszcz",21
"przerwa",21
"takiego",21
"wtorek",21
"zadania",21
"zakupy",21
"zdjecie",21
"zostaje",21
"auto",20
"blazeja",20
"burza",20
"bylam",20
"czekam",20
"dzwoniła",20
"jem",20
"jemy",20
"leci",20
"mowil",20
"nowego",20
"osób",20
"pierwszy",20
"problem",20
"razu",20
"takich",20
"temu",20
"wie",20
"wygląda",20
"zima",20
"znac",20
"ładnie",20
"ciekawe",19
"ciemno",19
"cyprian",19
"czekamy",19
"drodze",19
"heh",19
"jedzenie",19
"kosciola",19
"kościele",19
"mieć",19
"min",19
"niestety",19
"oglądamy",19
"ostatnio",19
"sanoku",19
"snieg",19
"sporo",19
"spowiedzi",19
"szkoda",19
"słońce",19
"uczelni",19
"uczy",19
"wiecej",19
"wyjazdu",19
"inaczej",18
"jaka",18
"kupić",18
"mecze",18
"piszesz",18
"polski",18
"pomysl",18
"pozdrawiamy",18
"pozdrowienia",18
"pracuje",18
"psem",18
"robota",18
"termin",18
"wiec",18
"zdjecia",18
"😂",18
"czesc",17
"jadles",17
"jechac",17
"kierunek",17
"kolokwium",17
"korki",17
"koło",17
"końca",17
"kupiłem",17
"link",17
"maja",17
"mozesz",17
"niedzielę",17
"norwegii",17
"odezwij",17
"pisał",17
"poszedl",17
"siatka",17
"spania",17
"stronie",17
"tatem",17
"zrobić",17
"łatwo",17
"cieplo",16
"czat",16
"czwartek",16
"cóż",16
"dam",16
"drzwi",16
"godz",16
"internet",16
"jedziesz",16
"matmy",16
"meczu",16
"musisz",16
"mógł",16
"mówiła",16
"oglądam",16
"pawel",16
"pierwsze",16
"poniedzialek",16
"razy",16
"spac",16
"strzebowiska",16
"sypie",16
"temat",16
"trasa",16
"tygodnie",16
"użytkownika",16
"wiatr",16
"wydaje",16
"wydziale",16
"znajomymi",16
"bułgarii",15
"dom",15
"drugiej",15
"egzamin",15
"fajny",15
"gość",15
"maila",15
"mszy",15
"pamiętam",15
"poszło",15
"poziom",15
"przeszkadzam",15
"przodu",15
"robią",15
"samo",15
"siatkę",15
"skręć",15
"sobote",15
"sobotę",15
"trzymaj",15
"widac",15
"widzę",15
"wraca",15
"wynik",15
"zakończył",15
"załącznik",15
"znać",15
"śniadanie",15
"śnieg",15
"źle",15
"agh",14
"cena",14
"choć",14
"daje",14
"góry",14
"info",14
"internecie",14
"katar",14
"kierunku",14
"kinga",14
"msza",14
"musze",14
"mysle",14
