"word","freq"
"😉",35
"haha",23
"masz",17
"pracy",17
"😎",17
"spoko",16
"😂",16
"jutro",15
"tez",14
"bedziesz",13
"czas",13
"domu",12
"pewnie",12
"dobra",11
"dzięki",11
"hah",11
"chyba",10
"lepiej",10
"mozesz",10
"napewno",10
"wiem",10
"😂😂😂",10
"dawaj",9
"dostaniesz",9
"elegancko",9
"okej",9
"plan",9
"znac",9
"👍",9
"narazie",8
"pogoda",8
"troche",8
"weekend",8
"wez",8
"wiec",8
"bedziemy",7
"bym",7
"hej",7
"jakies",7
"luz",7
"oslo",7
"pozdros",7
"tromso",7
"wczoraj",7
"dalej",6
"dam",6
"dom",6
"gosciu",6
"heh",6
"mamy",6
"min",6
"prace",6
"raczej",6
"razie",6
"tyle",6
"bagaze",5
"chcesz",5
"czasu",5
"czekam",5
"czerwca",5
"dopiero",5
"dzieje",5
"dzien",5
"firmie",5
"idzie",5
"info",5
"jade",5
"jakieś",5
"kontakcie",5
"konto",5
"lekko",5
"maju",5
"miec",5
"pierwszy",5
"pozdrowienia",5
"pozniej",5
"praca",5
"skuter",5
"spokojnie",5
"srode",5
"subaru",5
"vittore",5
"wakacje",5
"wiesz",5
"śnieg",5
"aha",4
"bilety",4
"chwile",4
"damy",4
"deszcz",4
"dokładnie",4
"duze",4
"dzieki",4
"ekstra",4
"hehe",4
"heja",4
"kasa",4
"kinia",4
"kolo",4
"koniec",4
"maja",4
"miejscu",4
"moge",4
"musisz",4
"musze",4
"ogarne",4
"ostro",4
"pasuje",4
"planem",4
"pomoc",4
"problemu",4
"przodu",4
"rade",4
"rady",4
"raz",4
"razem",4
"relax",4
"reszte",4
"rok",4
"silnik",4
"slonce",4
"sumie",4
"super",4
"szkoda",4
"tato",4
"wawie",4
"wiecej",4
"wieczorem",4
"wwa",4
"wysle",4
"zaczynam",4
"zewnatrz",4
"zgadza",4
"zgodnie",4
"zobaczymy",4
"ładnie",4
"😁",4
"🙂",4
"badz",3
"chopina",3
"chwilę",3
"ciuchy",3
"czekamy",3
"daj",3
"dobry",3
"gdanska",3
"git",3
"gitara",3
"gitarka",3
"jaka",3
"janek",3
"jesteśmy",3
"kasy",3
"kini",3
"klucze",3
"kola",3
"konca",3
"korony",3
"kończę",3
"kuchnie",3
"kurde",3
"lot",3
"lotnisko",3
"martw",3
"mialem",3
"miasto",3
"miedzyczasie",3
"miejsca",3
"miesiac",3
"możesz",3
"muszę",3
"mysle",3
"nadzieję",3
"napisze",3
"narty",3
"noga",3
"nogach",3
"normalnie",3
"numer",3
"okolicy",3
"opłaca",3
"ostatni",3
"pada",3
"pare",3
"pendolino",3
"pewna",3
"pewno",3
"pogody",3
"pojutrze",3
"potem",3
"powinnismy",3
"prostu",3
"proszę",3
"przygotuj",3
"póki",3
"później",3
"remoncie",3
"robote",3
"shopping",3
"siebie",3
"siema",3
"siemanko",3
"smialo",3
"szybko",3
"takim",3
"trochę",3
"tysi",3
"uda",3
"wiadomo",3
"widać",3
"wiosna",3
"wolny",3
"wypad",3
"zaczynamy",3
"zakupy",3
"zaraz",3
"zarobisz",3
"zobaczysz",3
"💪",3
"😃",3
"😊",3
"😑",3
"ajak",2
"akurat",2
"autobus",2
"bagaz",2
"bawcie",2
"bayernem",2
"bierz",2
"biletu",2
"budowlanke",2
"busa",2
"buty",2
"bys",2
"będziemy",2
"całkiem",2
"chcemy",2
"chcę",2
"chociaż",2
"ciepla",2
"czacie",2
"czasie",2
"czekaj",2
"czesto",2
"cześć",2
"czlowieku",2
"czwartek",2
"czym",2
"dluzej",2
"dni",2
"dobre",2
"dodzwonic",2
"dojdziesz",2
"dokladnie",2
"dostałem",2
"drodze",2
"dwoch",2
"dziena",2
"dzwon",2
"dzwonil",2
"elegansior",2
"ewentualnie",2
"fajne",2
"firmowe",2
"francisco",2
"fucha",2
"gdansku",2
"godzinki",2
"gore",2
"gratuluje",2
"grupy",2
"hahah",2
"httpsmeganzdrbtjiylwmdstyrewbmhxjtutbxkebncgmbufdzxklqvwq",2
"idziemy",2
"inaczej",2
"inwestycja",2
"itp",2
"jedzenia",2
"jussi",2
"jutra",2
"kantorach",2
"kiedys",2
"kinga",2
"koncie",2
"koncu",2
"konta",2
"kontakt",2
"korki",2
"koron",2
"korzystaj",2
"korzystajcie",2
"kosciol",2
"koszeniem",2
"krk",2
"krosna",2
"kuchnia",2
"kupione",2
"kupowac",2
"kurs",2
"kursie",2
"kurtke",2
"latwo",2
"lecimy",2
"lotniska",2
"lotnisku",2
"loty",2
"lubie",2
"ludzi",2
"luzie",2
"luzik",2
"luzniej",2
"maila",2
"malowania",2
"matura",2
"mecz",2
"mial",2
"miałem",2
"miejsce",2
"mieli",2
"miescie",2
"mniej",2
"mogę",2
"musial",2
"musiał",2
"najgorszy",2
"napisac",2
"narzekamy",2
"nauki",2
"niedlugo",2
"niedziela",2
"norwegii",2
"norwesku",2
"obczaj",2
"ochrona",2
"odpoczywaj",2
"ogarnie",2
"ogolnie",2
"okazji",2
"oke",2
"okienko",2
"okna",2
"ostatnio",2
"pamietam",2
"paszport",2
"pierwsze",2
"pisali",2
"piwo",2
"piątek",2
"plany",2
"poczatek",2
"poczatku",2
"podaj",2
"poddasze",2
"pogadaj",2
"pojezdze",2
"pokój",2
"polski",2
"pory",2
"porządku",2
"powiem",2
"powoli",2
"pozytywnie",2
"pracę",2
"prawdopodobnie",2
"przejdzie",2
"przemek",2
"przemka",2
"przemkiem",2
"przesiadka",2
"przyjadę",2
"przyjezdzasz",2
"przylot",2
"przysłali",2
"pyklo",2
"razy",2
"remont",2
"robi",2
"robić",2
"rodziców",2
"roma",2
"ruszam",2
"rze",2
"rzeczy",2
"samochodem",2
"samolot",2
"sezon",2
"sklepu",2
"slyszalem",2
"snk",2
"sobota",2
"sobote",2
"spadł",2
"spania",2
"sporo",2
"spowrotem",2
"stronie",2
"studia",2
"swiat",2
"swoim",2
"sylwka",2
"szkole",2
"szkoła",2
"słońce",2
"tarasy",2
"trafisz",2
"trip",2
"tydzien",2
"tydzień",2
"tys",2
"uczestniczyłeś",2
"udało",2
"utrzymany",2
"wakacjach",2
"warto",2
"weekendy",2
"wideo",2
"widziałem",2
"widzę",2
"wieczora",2
"wiedzial",2
"wiedziec",2
"wolne",2
"wreszcie",2
"wrocilem",2
"wrzesnia",2
"wrzuce",2
"wsiadasz",2
"wsio",2
"współlokator",2
"wybierasz",2
"wybierz",2
"wybrac",2
"wyjazd",2
"wyjdzie",2
"wyladowal",2
"wystarczy",2
"wzajemnie",2
"zadowolony",2
"zadzwonie",2
"zajęty",2
"zalezy",2
"zapas",2
"zasuwane",2
"zazdroszczę",2
"zdrowko",2
"zima",2
"zimno",2
"znać",2
"zobacze",2
"zostaje",2
"zrobi",2
"zrobic",2
"zrobić",2
"zwrot",2
"👋",2
"😎😎😎",2
"adres",1
"adrianem",1
"ahaa",1
"ahha",1
"ajjj",1
"akcji",1
"akze",1
"allegro",1
"alurat",1
"angielsku",1
"angoli",1
"anguelsku",1
"aparatu",1
"aprilis",1
"aptece",1
"aquaparku",1
"autobusem",1
"autobusikiem",1
"autobusy",1
"badania",1
"bagazem",1
"bagażu",1
"bezpiecznie",1
"biegun",1
"bieszczadach😎😎😎",1
"bieszczady",1
"bieżąco",1
"bilet",1
"bimbrem",1
"biorę",1
"blazej",1
"bliżej",1
"blokad",1
"bluzy",1
"boje",1
"bojlerze",1
"boli",1
"bomba",1
"bonus",1
"brak",1
"braklo",1
"brakuje",1
"bral",1
"branzy",1
"branży",1
"brać",1
"brzegu",1
"budowa",1
"budowal",1
"budowlanki",1
"bukowela",1
"buro",1
"busik",1
"bycv",1
"bylbym",1
"byle",1
"bylismy",1
"byłbym",1
"byłem",1
"byś",1
"byście",1
"będziesz",1
"błażej",1
"całe",1
"cenie",1
"centrum",1
"chacie",1
"chate",1
"chce",1
"chcecie",1
"chciałbym",1
"chciałem",1
"chlodnice",1
"chlodzenia",1
"chlopaki",1
"chmury",1
"chodzic",1
"chodzimy",1
"chorobowe",1
"chorobowym",1
"chorować",1
"chory",1
"chwalić",1
"chwila",1
"chwilą",1
"chętnie",1
"chłodno",1
"ciagle",1
"cichy",1
"ciekawie",1
"cieknie",1
"ciemnosc",1
"ciepelko",1
"cieple",1
"cieplejsza",1
"cieplutko",1
"cierpliwie",1
"ciesz",1
"ciesze",1
"cieszyc",1
"cieszę",1
"ciezko",1
"cisne",1
"ciuchami",1
"ciężko",1
"cnie",1
"coraz",1
"cruiserzy",1
"cudu😉😉",1
"cygary",1
"czasy",1
"czego",1
"czegos",1
"czeka",1
"czekać",1
"czertez",1
"czerwiec",1
"czerwone",1
"czuje",1
"czujny",1
"czw",1
"czysto",1
"czytac",1
"czytam",1
"czytałem",1
"część",1
"daje",1
"dal",1
"dales",1
"dany",1
"dasz",1
"datę",1
"dawac",1
"dawal",1
"dechy",1
"deliktanir",1
"deser",1
"deska",1
"deszc",1
"detali",1
"dlugi",1
"dmuchany",1
"dobrej",1
"dodatkowych",1
"dojde",1
"dojdzie",1
"dojedzieny",1
"dokumenty",1
"dokumentów",1
"dol",1
"domem",1
"domy",1
"domyśle",1
"dopiec😉",1
"dopisuję",1
"dopiszę",1
"dopytam",1
"dorobić",1
"dostac",1
"dostajemy",1
"dostal",1
"dostales",1
"dostane",1
"dostaniemy",1
"dostanę",1
"dostać",1
"dostosować",1
"doszło",1
"dowod",1
"dreszczyk",1
"drugi",1
"drugiego",1
"drugą",1
"dupa",1
"duzej",1
"duża",1
"dwatyg",1
"dzialac",1
"dzialaja",1
"dzialal",1
"dzialamy",1
"działa",1
"dziennie",1
"dziewczynami",1
"dzień",1
"dzwonie",1
"długości",1
"dłuższą",1
"egzaminami",1
"egzaminy",1
"ekipa",1
"elektryka",1
"elektryke",1
"emilka",1
"etapami",1
"facebooku",1
"fanid",1
"fatherem",1
"ferie",1
"ferieprenge",1
"fest",1
"filmikach",1
"filmiki",1
"filmikow",1
"filmu",1
"filmy",1
"firmowy",1
"firmy",1
"fizyczną",1
"forma",1
"fotki",1
"fritza",1
"frytki",1
"fuch",1
"fuszkach",1
"fuszke",1
"fuszki",1
"gadac",1
"galeria",1
"galerii",1
"garaz",1
"gear",1
"gid",1
"gitarra",1
"glodni",1
"godze",1
"goi",1
"goic",1
"golfy",1
"good",1
"gorace",1
"goreczka",1
"gorsze",1
"gorszymi",1
"gospodarze",1
"gotowe",1
"gotowi",1
"gotowke",1
"gotowosci",1
"gotuj",1
"gra",1
"grafik",1
"grosze",1
"gwiazdek",1
"halo",1
"hardcore",1
"hey",1
"heya",1
"hotelu",1
"httpsdrivegooglecomdrivefoldersvjgpycyekttndtnlumhtyycqfvswuspsharing",1
"httpsmeganzfcqszssncaroxgrrvodwikfymjerkgkhgbbicskcq",1
"httpsmeganzfuhwxbzbdawtfucfrtyaxwhymixuhynhcwvnbjewtfgyemu",1
"httpsmeganzfvqkerzsoqapvntkikikfszemufjmmgpkrovikdrdos",1
"httpsmeganzkarhtirbbcdvuxaomwmkspfzwmqsoxmuuyivtzki",1
"httpsmeganzoezkhbmcgqmafsashoajdlpcvxtuiqfqseknq",1
"httpsmeganzqmjggjadnmekffctnpgoqxfbgtsgbwvruhwaley",1
"httpsmeganzqznhczslxrywjllhqkwfxowzjxjhepgbwaezukzhqla",1
"httpsmeganzschjyzrvxsrwfpcgzzfacdhxpvjzrzxjvsatsja",1
"httpsmeganzscxlgsqyqqcytvkgihclueuomjkjlehevpvqllvgls",1
"httpsmeganztdpyhqbjvdlcqtxqhkoemdtihjeycsprzsonsuvitmiuy",1
"httpsmeganzuoguajispnuftacobixztvomrdlstxzuxckrjzpmio",1
"httpsmeganzuqihwsztfldckggnewshlovdukgapxvipenzqxes",1
"httpsmeganzwnawqkxqcpibapiqptwozmngdduaxthmsqvweatxpy",1
"httpsmeganzwygaxddkmjeprscfgqoqqstvylooeqdqomdnnrona",1
"httpsmeganzzmwjkaznlavsevmmdqtxmpsqfkmhnfzfgdvhgiqcmgg",1
"httpswwwfinnnorealestatehomesadhtmlfinnkode",1
"hulaja",1
"ide",1
"ikei",1
"informacjami",1
"informacje",1
"informację",1
"innego",1
"interere",1
"isc",1
"jackiem",1
"jackowi",1
"jadę",1
"jakiej",1
"jakiejs",1
"jakies😉",1
"jakim",1
"jakosci",1
"jakąś",1
"jasionka",1
"jasno",1
"jazda",1
"jebnac",1
"jebnal",1
"jechac",1
"jechać",1
"jedne",1
"jednej",1
"jedną",1
"jedsiemy",1
"jedzenie",1
"jedziecie",1
"jedziesz",1
"jem",1
"jescze",1
"jesienna",1
"jesienno",1
"jesień",1
"jestes",1
"jestescie",1
"jestesmy",1
"jesz",1
"jezdzi",1
"jezdzic",1
"jezdzil",1
"jeździliśmy",1
"juzz",1
"kamerkach",1
"kangurki",1
"karierebrozwijał",1
"karpatach",1
"karton",1
"kask",1
"kawalek",1
"kawałek",1
"kazda",1
"kielbasy",1
"kierowac",1
"kierunek",1
"kim",1
"klatke",1
"klimatyzowac",1
"kluczy",1
"kolacja",1
"kolacje",1
"kolano",1
"koloneas",1
"kompem",1
"komplecie",1
"komplikacji",1
"komunikacja",1
"komunikacją",1
"konczy",1
"konczyl",1
"konczymy",1
"konczysz",1
"konieczne",1
"konkretnie",1
"korona",1
"korzystac",1
"korzystamy",1
"koszenie",1
"koszta",1
"kosztują",1
"koszulka",1
"koszulki",1
"kozackod",1
"kończe",1
"kończo",1
"kościół",1
"krakowa",1
"kratke",1
"krosnie",1
"krotkie",1
"krotko",1
"krystian",1
"krótkich",1
"kuba",1
"kubki",1
"kuchennomaterialowy",1
"kumplami",1
"kumpli",1
"kup",1
"kupilem",1
"kupili",1
"kupimy",1
"kupić",1
