"word","freq"
"chyba",31
"dobra",31
"masz",26
"wiem",23
"mamy",19
"tez",16
"dzieki",13
"potem",13
"rozumiem",13
"działa",12
"oks",11
"razie",10
"liczy",9
"pochodna",9
"inf",8
"nei",8
"spoko",8
"yup",8
"algorytm",7
"dlugo",7
"filip",7
"nom",7
"raczej",7
"same",7
"sumie",7
"zaraz",7
"bym",6
"chodzi",6
"dane",6
"drawable",6
"hmmm",6
"interfejs",6
"jakies",6
"jesteśmy",6
"kurde",6
"lepiej",6
"macierzy",6
"mniej",6
"mogę",6
"piotrek",6
"punkcie",6
"sumy",6
"troche",6
"wielkie",6
"wiemy",6
"wychodzi",6
"znaczy",6
"bierzemy",5
"circle",5
"daj",5
"imo",5
"jakieś",5
"jestes",5
"klasa",5
"min",5
"paweł",5
"pewnie",5
"prostu",5
"raz",5
"robiles",5
"rozklad",5
"sensie",5
"siebie",5
"szeregu",5
"trochę",5
"wywala",5
"xdd",5
"xddd",5
"znać",5
"zrobić",5
"calke",4
"cauchy",4
"chunkach",4
"chwilę",4
"dod",4
"dodatnie",4
"dziala",4
"dzięki",4
"funkcji",4
"granica",4
"granicy",4
"haha",4
"halo",4
"indeks",4
"istnieje",4
"jakeis",4
"jutro",4
"kartki",4
"kiedyś",4
"kolodziejka",4
"kumam",4
"miejscu",4
"musze",4
"nieco",4
"ogarniemy",4
"okej",4
"określona",4
"pewno",4
"pomysł",4
"poziom",4
"przypadki",4
"pytanie",4
"pytanko",4
"pół",4
"robi",4
"robiłem",4
"sposoby",4
"takeigo",4
"void",4
"wartości",4
"wektor",4
"wiesz",4
"zasadzie",4
"zbiorze",4
"zbiorów",4
"zwraca",4
"akurat",3
"analizy",3
"caps",3
"caucheygo",3
"cauchyego",3
"całej",3
"chce",3
"chcemy",3
"chyab",3
"ciagla",3
"ciagu",3
"czastkowa",3
"czegos",3
"dam",3
"definicji",3
"dystrybuanta",3
"dystrybuante",3
"dzieje",3
"ejst",3
"ekstremum",3
"funkcja",3
"genie",3
"gestosc",3
"gęstość",3
"itd",3
"jadę",3
"jaka",3
"jakiegoś",3
"jan",3
"jedyne",3
"jesteście",3
"jzu",3
"klasy",3
"konca",3
"kwadratu",3
